"Date","q","h","e","p","r"
1987-05-03,8.01133556553259,30.35,0,0,3.5
1987-05-04,8.01133556553259,30.35,0,0,3.5
1987-05-05,8.01133556553259,30.35,0,0,3.5
1987-05-06,8.01133556553259,30.35,0,0,3.5
1987-05-07,8.01133556553259,30.35,0,0,3.5
1987-05-08,8.01133556553259,30.3,0,0,3.5
1987-05-09,8.01133556553259,30.3,0,0,3.5
1987-05-10,7.82340167719315,30.3,0,0,2.64
1987-05-11,7.82340167719315,30.3,0,0,2.64
1987-05-12,7.82340167719315,30.3,0,0,2.64
1987-05-13,7.82340167719315,30.31,0,0,2.64
1987-05-14,7.82340167719315,30.31,0,0,2.64
1987-05-15,7.82340167719315,30.3,0,0,2.64
1987-05-16,7.82340167719315,30.35,0,0,2.64
1987-05-17,7.82340167719315,30.35,0,0,2.64
1987-05-18,7.82340167719315,30.35,0,0,2.64
1987-05-19,7.70758195530954,30.35,0,0,2.11
1987-05-20,7.70758195530954,30.3,0,0,2.11
1987-05-21,7.70758195530954,30.29,0,0,2.11
1987-05-22,7.82340167719315,30.29,0,0,2.64
1987-05-23,7.82340167719315,30.3,0,0,2.64
1987-05-24,7.82340167719315,30.29,0,0,2.64
1987-05-25,7.82340167719315,30.29,0,0,2.64
1987-05-26,7.82340167719315,30.3,0,0,2.64
1987-05-27,7.82340167719315,30.29,0,0,2.64
1987-05-28,7.70758195530954,30.29,0,0,2.11
1987-05-29,7.70758195530954,30.29,0,0,2.11
1987-05-30,7.70758195530954,30.29,0,0,2.11
1987-05-31,7.70758195530954,30.29,0,0,2.11
1987-06-01,7.82558695496454,30.29,4.6,0,2.65
1987-06-02,7.82777223273593,30.3,3.1,0,2.66
1987-06-03,8.05504112096037,30.3,3.7,0,3.7
1987-06-04,8.43309417541064,30.3,5,0,5.43
1987-06-05,8.07907917644565,30.32,4.5,0,3.81
1987-06-06,8.06596750981731,30.3,4.7,0,3.75
1987-06-07,8.04630000987481,30.3,3,0,3.66
1987-06-08,8.04630000987481,30.3,3.1,0,3.66
1987-06-09,8.22767806490009,30.3,3.3,0,4.49
1987-06-10,8.03537362101787,30.3,2.6,0,3.61
1987-06-11,8.05504112096037,30.3,3.7,0,3.7
1987-06-12,8.0681527875887,30.3,4.2,0,3.76
1987-06-13,8.06596750981731,30.3,4.2,0,3.75
1987-06-14,8.05067056541759,30.3,3.5,0,3.68
1987-06-15,8.05504112096037,30.3,3.7,0,3.7
1987-06-16,8.03537362101787,30.3,2.6,0,3.61
1987-06-17,8.03974417656065,30.3,3,0,3.63
1987-06-18,8.0484852876462,30.3,3.3,0,3.67
1987-06-19,8.05067056541759,30.3,3.5,0,3.68
1987-06-20,8.22767806490009,30.3,3.5,0,4.49
1987-06-21,8.38720334221148,30.31,2.4,0,5.22
1987-06-22,8.22767806490009,30.32,3.3,0,4.49
1987-06-23,8.43090889763926,30.33,4.6,0,5.42
1987-06-24,8.07907917644565,30.35,4.8,0,3.81
1987-06-25,8.07470862090287,30.35,4.5,0,3.79
1987-06-26,8.25171612038537,30.35,3.2,0,4.6
1987-06-27,8.26264250924231,30.35,3.8,0,4.65
1987-06-28,8.38938861998287,30.36,3.9,0,5.23
1987-06-29,8.03755889878926,30.38,2.5,0,3.62
1987-06-30,8.05067056541759,30.38,3.3,0,3.68
1987-07-01,8.01133556553259,30.38,3.3,0,3.5
1987-07-02,8.01133556553259,30.39,3.6,0,3.5
1987-07-03,8.01133556553259,30.39,4.6,0,3.5
1987-07-04,8.01133556553259,30.39,3.9,0,3.5
1987-07-05,8.01133556553259,30.39,2,0,3.5
1987-07-06,8.01133556553259,30.38,4.1,0,3.5
1987-07-07,8.01133556553259,30.37,4,0,3.5
1987-07-08,8.01133556553259,30.38,3.8,0,3.5
1987-07-09,8.01133556553259,30.38,2.5,0,3.5
1987-07-10,7.82340167719315,30.39,3.7,0,2.64
1987-07-11,7.82340167719315,30.39,3.1,0,2.64
1987-07-12,7.82340167719315,30.39,4.3,0,2.64
1987-07-13,7.82340167719315,30.38,3.6,0,2.64
1987-07-14,7.82340167719315,30.36,2.8,0,2.64
1987-07-15,7.82340167719315,30.36,3,0,2.64
1987-07-16,7.82340167719315,30.36,3.4,0,2.64
1987-07-17,7.82340167719315,30.36,2.5,0,2.64
1987-07-18,7.82340167719315,30.38,3.5,0,2.64
1987-07-19,7.70758195530954,30.36,3.9,0,2.11
1987-07-20,7.70758195530954,30.36,4.1,0,2.11
1987-07-21,7.70758195530954,30.36,7.1,0,2.11
1987-07-22,7.82340167719315,30.36,4.4,0,2.64
1987-07-23,7.82340167719315,30.36,5.1,0,2.64
1987-07-24,7.82340167719315,30.38,3.6,0,2.64
1987-07-25,7.82340167719315,30.38,4,0,2.64
1987-07-26,7.82340167719315,30.35,4,0,2.64
