Acqua Blue banane sprinkler [m3/ha]	gennaio	febbraio	marzo	aprile	maggio	giugno	luglio	agosto	settembre	ottobre	novembre	dicembre
2006	1104.016667	276.2611111	21.62333333	161.9244444	548.9833333	627.15	834.0055556	1150.111111	1380.555556	1413.555556	1099.4	915.6055556
2007	1045.288889	985.8444444	1221.611111	601.6666667	595.0611111	618.0722222	847.8055556	1218.333333	1492.111111	1231.777778	1192.777778	819.7888889
2008	906.6555556	1051.511111	1027.527778	789.3	647.3444444	650.7388889	871.2222222	1205.333333	1456.666667	1531.111111	1143.611111	1122.222222
2009	790.5555556	227.9555556	620.0555556	841.0944444	786.2333333	690.4333333	887.0111111	1172.444444	1433.5	1437.722222	871.4444444	851.5055556
2010	1190.777778	689.3333333	1030.366667	367.8888889	611.5611111	677.1444444	828.4333333	1226.5	1471.055556	1464.888889	913.7444444	635.6888889
2011	483.0055556	892.4277778	994.2277778	652.2055556	730.4444444	674.3055556	849.65	1128.116667	1413.222222	1498.333333	1445.166667	1447.444444
2012	970.9666667	812.8277778	892.2166667	771.6388889	806.9333333	725.9388889	928.2166667	1265.166667	1121.772222	746.7222222	956.5611111	1067.711111
2013	915.9833333	590.8111111	909.1777778	782.1111111	711.2611111	658.9666667	871.6277778	1210.722222	1426.222222	1329.555556	921.5555556	989.5277778
2014	1400.944444	816.6777778	870.7944444	900.8611111	875.0111111	752.8777778	954.1166667	1259.722222	1434	1465.555556	1485.555556	1259.611111
2015	1368.777778	336.1333333	855.8111111	684.7333333	756.9833333	697.45	907.0888889	1211.388889	1305.777778	1495.444444	1482.888889	1325.944444
2016	1593.555556	1056.816667	736.9055556	880.3611111	523.0666667	364.6666667	735.3388889	1096.855556	1445.777778	1255.222222	497.0611111	736.1555556
