Acqua Blue banane sprinkler [m3/ha]	gennaio	febbraio	marzo	aprile	maggio	giugno	luglio	agosto	settembre	ottobre	novembre	dicembre
2006	1011.20	177.87	6.76	95.02	457.09	623.14	849.83	1143.68	1355.15	1374.00	1049.58	873.03
2007	1095.94	898.11	1177.52	454.61	536.69	606.84	858.68	1226.37	1491.37	1171.30	1101.30	611.59
2008	955.00	1067.00	913.57	704.39	594.88	644.42	874.48	1221.44	1449.96	1510.33	1056.25	1096.27
2009	703.57	164.79	530.39	868.67	769.96	689.84	894.38	1147.80	1409.56	1398.19	746.57	799.09
2010	1172.00	626.25	1038.65	239.71	580.57	691.60	838.29	1229.44	1465.15	1419.48	805.54	554.80
2011	445.34	912.48	938.51	539.21	717.29	684.17	862.83	1110.20	1401.11	1483.48	1431.07	1386.22
2012	899.86	723.27	847.03	751.24	809.93	742.43	941.28	1270.00	1019.25	681.48	965.23	1040.43
2013	876.17	477.32	829.59	708.67	659.01	655.26	876.86	1211.07	1404.37	1295.00	878.83	955.26
2014	1418.04	751.81	797.08	896.04	878.29	758.61	953.73	1258.81	1415.81	1445.07	1464.33	1211.15
2015	1394.63	169.26	742.67	584.56	765.07	711.62	923.84	1214.04	1261.33	1459.74	1463.30	1286.30
2016	1566.81	977.59	584.94	862.49	472.16	351.20	763.73	1106.55	1463.78	1193.78	368.64	711.83
